StationCode;StationName;Category;Region;DwellTime_IPV;StopFlag_IPV;DwellTime_A;StopFlag_A;DwellTime_B;StopFlag_B;DwellTime_C;StopFlag_C;DwellTime_D;StopFlag_D;BufferTime;TransferTime;Labels;XCoord;YCoord;Create
KUE;Küssnacht am Rigi;4;Mitte;;0;;0;;0;;0;;0;;;;;;
LA;Lachen;3;Ost;;0;;0;;0;;0;;0;;;;;;
LAED;Lädeli;5;Mitte;;0;;0;;0;;0;;0;;;;;;
LL;Lalden;HaV;Mitte;;0;;0;;0;;0;;0;;;;;;
LAM;Lamone-Cadempino;4;Sud;;0;;0;;0;;0;;0;;;;;;
LAPP;Lancy-Pont-Rouge;3;Ouest;;0;;0;;0;;0;;0;;;;;;
LD;Landeron, Le;4;Ouest;;0;;0;;0;;0;;0;;;;;;
LQ;Landquart;2;Ost;2;1;2;1;2;1;2;1;2;1;;4;;3283.056782;995.1229965;1
LDS;Landschlacht;HaV;Ost;;0;;0;;0;;0;;0;;;;;;
LADO;Langendorf;5;Mitte;;0;;0;;0;;0;;0;;;;;;
LTH;Langenthal;3;Mitte;;0;;0;;0;;0;;0;;4;;;;
LTHS;Langenthal Süd;4;Mitte;;0;;0;;0;;0;;0;;;;;;
LN;Langnau;4;Mitte;;0;;0;;0;;0;;0;;;;;;
LAN;Langwiesen;HaV;Ost;;0;;0;;0;;0;;0;;;;;;
LH;Lanzenhäusern;5;Mitte;;0;;0;;0;;0;;0;;;;;;
LAT;Lattigen bei Spiez;HaV;Mitte;;0;;0;;0;;0;;0;;;;;;
LF;Läufelfingen;4;Mitte;;0;;0;;0;;0;;0;;;;;;
LFN;Laufen;3;Mitte;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;;3;;;;
LFG;Laufenburg;4;Mitte;;0;;0;;0;;0;;0;;;;;;
LPN;Laupen;4;Mitte;;0;;0;;0;;0;;0;;;;;;
LS;Lausanne;1+;Ouest;4;1;4;1;4;1;4;1;4;1;;5;;-3509.270818;2631.691703;1
LSN;Lausen;4;Mitte;;0;;0;;0;;0;;0;;;;;;
LAV;Lavorgo;4;Sud;;0;;0;;0;;0;;0;;;;;;
LECH;Léchelles;5;Ouest;;0;;0;;0;;0;;0;;;;;;
LEN;Lengnau;4;Mitte;;0;;0;;0;;0;;0;;;;;;
LENG;Lengwil;HaV;Ost;;0;;0;;0;;0;;0;;;;;;
LB;Lenzburg;3;Mitte;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;;3;;;;
LGB;Leuggelbach;5;Ost;;0;;0;;0;;0;;0;;;;;;
LK;Leuk;4;Ouest;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;;3;;;;
LSG;Lichtensteig;4;Ost;;0;;0;;0;;0;;0;;;;;;
