StationCode;StationName;Category;Region;DwellTime_IPV;StopFlag_IPV;DwellTime_A;StopFlag_A;DwellTime_B;StopFlag_B;DwellTime_C;StopFlag_C;DwellTime_D;StopFlag_D;BufferTime;TransferTime;Labels;XCoord;YCoord;Create
DOR;Dornach-Arlesheim;4;Mitte;;0;;0;;0;;0;;0;;;;;;
DOT;Dottikon-Dintikon;4;Mitte;;0;;0;;0;;0;;0;;;;;;
DON;Dotzigen;5;Mitte;;0;;0;;0;;0;;0;;;;;;
DUE;Dübendorf;3;Ost;;0;;0;;0;;0;;0;;;;;;
DUED;Düdingen;4;Mitte;;0;;0;;0;;0;;0;;;;;;
DUG;Duggingen;5;Mitte;;0;;0;;0;;0;;0;;;;;;
DU;Dulliken;4;Mitte;;0;;0;;0;;0;;0;;;;;;
EBI;Ebikon;3;Mitte;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;;3;;;;
EK;Ebnat-Kappel;4;Ost;;0;;0;;0;;0;;0;;;;;;
ECL;Eclépens;4;Ouest;;0;;0;;0;;0;;0;;;;;;
ECU;Ecublens-Rue;5;Ouest;;0;;0;;0;;0;;0;;;;;;
EF;Effretikon;3;Ost;;0;;0;;0;;0;;0;;4;;;;
EG;Egerkingen;4;Mitte;;0;;0;;0;;0;;0;;;;;;
EB;Eggerberg;HaV;Mitte;;0;;0;;0;;0;;0;;;;;;
EGL;Eglisau;3;Ost;;0;;0;;0;;0;;0;;;;;;
EGN;Egnach;4;Ost;;0;;0;;0;;0;;0;;;;;;
EIF;Eifeld;HaV;Mitte;;0;;0;;0;;0;;0;;;;;;
EI;Eiken;5;Mitte;;0;;0;;0;;0;;0;;;;;;
EIS;Einsiedeln;4;Ost;;0;;0;;0;;0;;0;;;;;;
EL;Elgg;4;Ost;;0;;0;;0;;0;;0;;;;;;
EMB;Embrach-Rorbas;4;Ost;;0;;0;;0;;0;;0;;;;;;
EBR;Emmenbrücke;3;Mitte;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;;3;;;;
EMM;Emmenmatt;5;Mitte;;0;;0;;0;;0;;0;;;;;;
ENGE;Enge im Simmental;HaV;Mitte;;0;;0;;0;;0;;0;;;;;;
EDA;Ennenda;5;Ost;;0;;0;;0;;0;;0;;;;;;
ENT;Entlebuch;5;Mitte;;0;;0;;0;;0;;0;;;;;;
EP;Ependes;5;Ouest;;0;;0;;0;;0;;0;;;;;;
EPS;Epesses;5;Ouest;;0;;0;;0;;0;;0;;;;;;
ERL;Erlen;4;Ost;;0;;0;;0;;0;;0;;;;;;
EBIS;Erlenbach im Simmental;5;Mitte;;0;;0;;0;;0;;0;;;;;;
ERLB;Erlenbach ZH;3;Ost;;0;;0;;0;;0;;0;;;;;;
ERM;Ermatingen;HaV;Ost;;0;;0;;0;;0;;0;;;;;;
ESEE;Ermensee;5;Mitte;;0;;0;;0;;0;;0;;;;;;
ER;Erstfeld;4;Mitte;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;;3;;;;
ESB;Eschenbach;4;Mitte;;0;;0;;0;;0;;0;;;;;;
EZ;Eschenz;HaV;Ost;;0;;0;;0;;0;;0;;;;;;
ESL;Eschlikon;4;Ost;;0;;0;;0;;0;;0;;;;;;
ESCH;Escholzmatt;5;Mitte;;0;;0;;0;;0;;0;;;;;;
ESP;Essert-Pittet;5;Ouest;;0;;0;;0;;0;;0;;;;;;
DER;Esserts-de-Rive;HaV;Ouest;;0;;0;;0;;0;;0;;;;;;
EST;Estavayer-le-Lac;4;Ouest;;0;;0;;0;;0;;0;;;;;;
ETOY;Etoy;5;Ouest;;0;;0;;0;;0;;0;;;;;;
EW;Etzwilen;4;Ost;;0;;0;;0;;0;;0;;;;;;
EV;Evionnaz;4;Ouest;;0;;0;;0;;0;;0;;;;;;
EVOU;Evouettes, Les;5;Ouest;;0;;0;;0;;0;;0;;;;;;
FA;Faido;4;Sud;;0;;0;;0;;0;;0;;;;;;
FG;Faoug;4;Ouest;;0;;0;;0;;0;;0;;;;;;
FET;Fehraltorf;3;Ost;;0;;0;;0;;0;;0;;;;;;
FEL;Felben-Wellhausen;4;Ost;;0;;0;;0;;0;;0;;;;;;
FB;Feldbach;4;Ost;;0;;0;;0;;0;;0;;;;;;
FEG;Ferenbalm-Gurbrü;HaV;Mitte;;0;;0;;0;;0;;0;;;;;;
FT;Feuerthalen;HaV;Ost;;0;;0;;0;;0;;0;;;;;;
FI;Fischenthal;4;Ost;;0;;0;;0;;0;;0;;;;;;
FLM;Flamatt;4;Mitte;;0;;0;;0;;0;;0;;;;;;
FLMD;Flamatt Dorf;5;Mitte;;0;;0;;0;;0;;0;;;;;;
FLA;Flawil;4;Mitte;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;;3;;;;
FLE;Fleurier;4;Ouest;;0;;0;;0;;0;;0;;;;;;
FL;Flüelen;4;Mitte;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;;3;;;;
FMS;Flums;4;Ost;;0;;0;;0;;0;;0;;;;;;
FRAE;Fräschels;5;Mitte;;0;;0;;0;;0;;0;;;;;;
FF;Frauenfeld;3;Ost;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;;5;;;;
FRB;Freienbach SBB;4;Ost;;0;;0;;0;;0;;0;;;;;;
FRBS;Freienbach SOB;4;Ost;;0;;0;;0;;0;;0;;;;;;
FRE;Frenkendorf-Füllinsdorf;4;Mitte;;0;;0;;0;;0;;0;;;;;;
FRI;Fribourg/Freiburg;2;Ouest;2;1;2;1;2;1;2;1;2;1;;4;;-2286.192724;1637.608378;1
FRPO;Fribourg/Freiburg Poya;4;Ouest;;0;;0;;0;;0;;0;;;;;;
FCK;Frick;4;Mitte;;0;;0;;0;;0;;0;;3;;;;
FRIN;Frinvillier-Taubenloch;5;Ouest;;0;;0;;0;;0;;0;;;;;;
FR;Frutigen;4;Mitte;;0;;0;;0;;0;;0;;;;;;
GZ;Galmiz;5;Mitte;;0;;0;;0;;0;;0;;;;;;
GP;Gampelen;5;Mitte;;0;;0;;0;;0;;0;;;;;;
GA;Gampel-Steg;4;Mitte;;0;;0;;0;;0;;0;;;;;;
GAE;Gänsbrunnen;4;Mitte;;0;;0;;0;;0;;0;;;;;;
GAS;Gasel;4;Mitte;;0;;0;;0;;0;;0;;;;;;
GELF;Gelfingen;5;Mitte;;0;;0;;0;;0;;0;;;;;;
GKD;Gelterkinden;4;Mitte;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;;3;;;;
GE;Genève incl. Les Grottes;2;Ouest;2;1;2;1;2;1;2;1;2;1;;4;;-4663.358198;3689.447021;1
GEAP;Genève-Aèroport;2;Ouest;2;1;2;1;2;1;2;1;2;1;;;;-4733.658091;3610.022432;1
GEV;Genève-Eaux-Vives;3;Ouest;;0;;0;;0;;0;;0;;;;;;
GESE;Genève-Sécheron;4;Ouest;;0;;0;;0;;0;;0;;;;;;
GEC;Geneveys-sur-Coffrane, Les;5;Ouest;;0;;0;;0;;0;;0;;;;;;
GDBE;Genthod-Bellevue;4;Ouest;;0;;0;;0;;0;;0;;;;;;
GLF;Gerlafingen;4;Mitte;;0;;0;;0;;0;;0;;;;;;
GER;Gerra (Gamborogno);5;Sud;;0;;0;;0;;0;;0;;;;;;
GSAG;Gersag;4;Mitte;;0;;0;;0;;0;;0;;;;;;
GET;Gettnau;5;Mitte;;0;;0;;0;;0;;0;;;;;;
GIB;Gibswil;4;Ost;;0;;0;;0;;0;;0;;;;;;
GSK;Gisikon-Root;4;Mitte;;0;;0;;0;;0;;0;;;;;;
GIU;Giubiasco;3;Sud;;0;;0;;0;;0;;0;;3;;;;
GIV;Givisiez;4;Ouest;;0;;0;;0;;0;;0;;;;;;
GLA;Gland;3;Ouest;;0;;0;;0;;0;;0;;3;;;;
GLZB;Glanzenberg;3;Ost;;0;;0;;0;;0;;0;;;;;;
GL;Glarus;3;Ost;;0;;0;;0;;0;;0;;;;;;
GLB;Glattbrugg;3;Ost;;0;;0;;0;;0;;0;;;;;;
GF;Glattfelden;4;Ost;;0;;0;;0;;0;;0;;;;;;
GLO;Glovelier;4;Ouest;;0;;0;;0;;0;;0;;;;;;
GOL;Goldach;4;Ost;;0;;0;;0;;0;;0;;;;;;
GO;Goppenstein;4;Mitte;;0;;0;;0;;0;;0;;;;;;
GDA;Gordola;4;Sud;;0;;0;;0;;0;;0;;;;;;
GOR;Gorgier-St-Aubin;4;Ouest;;0;;0;;0;;0;;0;;;;;;
GOE;Göschenen;4;Sud;;0;;0;;0;;0;;0;;4;;;;
GSS;Gossau SG;3;Ost;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;;4;;;;
GRA;Grandgourt;5;Ouest;;0;;0;;0;;0;;0;;;;;;
GRS;Grandson;4;Ouest;;0;;0;;0;;0;;0;;;;;;
GVAL;Grandval;HaV;Ouest;;0;;0;;0;;0;;0;;;;;;
GRV;Grandvaux;5;Ouest;;0;;0;;0;;0;;0;;;;;;
GRAL;Granges-Lens;4;Ouest;;0;;0;;0;;0;;0;;;;;;
GM;Granges-Marnand;4;Ouest;;0;;0;;0;;0;;0;;;;;;
GREL;Grellingen;4;Mitte;;0;;0;;0;;0;;0;;;;;;
GN;Grenchen Nord;4;Mitte;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;;3;;;;
GS;Grenchen Süd;3;Mitte;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;;3;;;;
GRO;Grolley;4;Ouest;;0;;0;;0;;0;;0;;;;;;
GH;Grosshöchstetten;4;Mitte;;0;;0;;0;;0;;0;;;;;;
GRU;Grubenwald;HaV;Mitte;;0;;0;;0;;0;;0;;;;;;
GRF;Grüenfeld;HaV;Ost;;0;;0;;0;;0;;0;;;;;;
GRMA;Grünenmatt;5;Mitte;;0;;0;;0;;0;;0;;;;;;
GUEB;Gübsensee;HaV;Ost;;0;;0;;0;;0;;0;;;;;;
GUE;Gümligen;3;Mitte;;0;;0;;0;;0;;0;;;;;;
GMM;Gümmenen;4;Mitte;;0;;0;;0;;0;;0;;;;;;
GUN;Guntershausen;4;Ost;;0;;0;;0;;0;;0;;;;;;
GUBU;Gutenburg;HaV;Mitte;;0;;0;;0;;0;;0;;;;;;
GUET;Güttingen;HaV;Ost;;0;;0;;0;;0;;0;;;;;;
HAE;Hägendorf;4;Mitte;;0;;0;;0;;0;;0;;;;;;
HAEW;Häggenschwil-Winden;HaV;Ost;;0;;0;;0;;0;;0;;;;;;
HD;Hallwil;5;Mitte;;0;;0;;0;;0;;0;;;;;;
HAS;Hasle LU;5;Mitte;;0;;0;;0;;0;;0;;;;;;
HA;Hasle-Rüegsau;4;Mitte;;0;;0;;0;;0;;0;;;;;;
HPT;Hauptwil;4;Ost;;0;;0;;0;;0;;0;;;;;;
HGV;Hauts-Geneveys, Les;4;Ouest;;0;;0;;0;;0;;0;;;;;;
HED;Hedingen;3;Ost;;0;;0;;0;;0;;0;;;;;;
HEBG;Heerbrugg;3;Ost;;0;;0;;0;;0;;0;;;;;;
HMB;Heimberg;4;Mitte;;0;;0;;0;;0;;0;;;;;;
HDK;Hendschiken;4;Mitte;;0;;0;;0;;0;;0;;;;;;
HGT;Henggart;4;Ost;;0;;0;;0;;0;;0;;;;;;
HEN;Henniez;5;Ouest;;0;;0;;0;;0;;0;;;;;;
HE;Herisau;3;Ost;;0;;0;;0;;0;;0;;;;;;
HERL;Herrliberg-Feldmeilen;3;Ost;;0;;0;;0;;0;;0;;;;;;
HB;Herzogenbuchsee;3;Mitte;;0;;0;;0;;0;;0;;3;;;;
HET;Hettlingen;4;Ost;;0;;0;;0;;0;;0;;;;;;
LHE;Heutte, La;5;Ouest;;0;;0;;0;;0;;0;;;;;;
HBK;Hindelbank;4;Mitte;;0;;0;;0;;0;;0;;;;;;
HI;Hinwil;4;Ost;;0;;0;;0;;0;;0;;;;;;
HIK;Hitzkirch;4;Mitte;;0;;0;;0;;0;;0;;;;;;
HO;Hochdorf;4;Mitte;;0;;0;;0;;0;;0;;;;;;
HOSA;Hochdorf Schönau;5;Mitte;;0;;0;;0;;0;;0;;;;;;
HT;Hohtenn;HaV;Mitte;;0;;0;;0;;0;;0;;;;;;
HOBK;Holderbank AG;4;Mitte;;0;;0;;0;;0;;0;;;;;;
HG;Horgen;3;Ost;;0;;0;;0;;0;;0;;3;;;;
HGO;Horgen Oberdorf;3;Ost;;0;;0;;0;;0;;0;;;;;;
HN;Horn;4;Ost;;0;;0;;0;;0;;0;;;;;;
HUCH;Hünenberg Chämleten;4;Mitte;;0;;0;;0;;0;;0;;;;;;
HUZY;Hünenberg Zythus;4;Mitte;;0;;0;;0;;0;;0;;;;;;
HUEW;Hüntwangen-Wil;4;Ost;;0;;0;;0;;0;;0;;;;;;
HU;Hunzenschwil;4;Mitte;;0;;0;;0;;0;;0;;;;;;
HUR;Hurden;4;Ost;;0;;0;;0;;0;;0;;;;;;
HUE;Hüswil;HaV;Mitte;;0;;0;;0;;0;;0;;;;;;
HM;Hüttlingen-Mettendorf;4;Ost;;0;;0;;0;;0;;0;;;;;;
HWIL;Huttwil;4;Mitte;;0;;0;;0;;0;;0;;;;;;
IL;Illnau;4;Ost;;0;;0;;0;;0;;0;;;;;;
IMHO;Im Holz;HaV;Mitte;;0;;0;;0;;0;;0;;;;;;
IM;Immensee;4;Mitte;;0;;0;;0;;0;;0;;;;;;
INS;Ins;4;Mitte;;0;;0;;0;;0;;0;;;;;;
IO;Interlaken Ost;2;Mitte;2;1;2;1;2;1;2;1;2;1;;5;;-656.2338255;2058.391723;1
IW;Interlaken West;3;Mitte;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;;3;;;;
IS;Iselle di Trasquera;4;Ouest;;0;;0;;0;;0;;0;;;;;;
ISL;Islikon;4;Ost;;0;;0;;0;;0;;0;;;;;;
IT;Itingen;4;Mitte;;0;;0;;0;;0;;0;;;;;;
JE;Jestetten;4;Ost;;0;;0;;0;;0;;0;;;;;;
JO;Jona;4;Ost;;0;;0;;0;;0;;0;;;;;;
KAU;Kaiseraugst;4;Mitte;;0;;0;;0;;0;;0;;;;;;
KAAG;Kaiserstuhl AG;4;Ost;;0;;0;;0;;0;;0;;;;;;
KAL;Kallnach;5;Mitte;;0;;0;;0;;0;;0;;;;;;
KAB;Kaltbrunn;4;Ost;;0;;0;;0;;0;;0;;;;;;
KA;Kandersteg;4;Mitte;;0;;0;;0;;0;;0;;;;;;
KD;Kaufdorf;4;Mitte;;0;;0;;0;;0;;0;;;;;;
KHF;Kehlhof;4;Ost;;0;;0;;0;;0;;0;;;;;;
KS;Kehrsatz;4;Mitte;;0;;0;;0;;0;;0;;;;;;
KSN;Kehrsatz Nord;4;Mitte;;0;;0;;0;;0;;0;;;;;;
KPT;Kempraten;4;Ost;;0;;0;;0;;0;;0;;;;;;
KN;Kempten;4;Ost;;0;;0;;0;;0;;0;;;;;;
KE;Kemptthal;4;Ost;;0;;0;;0;;0;;0;;;;;;
KZ;Kerzers;4;Mitte;;0;;0;;0;;0;;0;;;;;;
KZPP;Kerzers Papiliorama;4;Mitte;;0;;0;;0;;0;;0;;;;;;
KWL;Kesswil;HaV;Ost;;0;;0;;0;;0;;0;;;;;;
KI;Kiesen;4;Mitte;;0;;0;;0;;0;;0;;;;;;
KIL;Kilchberg;3;Ost;;0;;0;;0;;0;;0;;;;;;
KLW;Killwangen-Spreitenbach;3;Ost;;0;;0;;0;;0;;0;;;;;;
KIAL;Kirchberg-Alchenflüh;5;Mitte;;0;;0;;0;;0;;0;;;;;;
KDI;Kleindietwil;5;Mitte;;0;;0;;0;;0;;0;;;;;;
KLWA;Kleinwabern;4;Mitte;;0;;0;;0;;0;;0;;;;;;
KLI;Klingnau;4;Ost;;0;;0;;0;;0;;0;;;;;;
KL;Kloten;3;Ost;;0;;0;;0;;0;;0;;;;;;
KLB;Kloten Balsberg;3;Ost;;0;;0;;0;;0;;0;;;;;;
KNO;Knonau;4;Ost;;0;;0;;0;;0;;0;;;;;;
KB;Koblenz;4;Ost;;0;;0;;0;;0;;0;;;;;;
KBD;Koblenz Dorf;4;Ost;;0;;0;;0;;0;;0;;;;;;
KOL;Kollbrunn;4;Ost;;0;;0;;0;;0;;0;;;;;;
KK;Kölliken;4;Mitte;;0;;0;;0;;0;;0;;;;;;
KKO;Kölliken Oberdorf;5;Mitte;;0;;0;;0;;0;;0;;;;;;
KOE;Köniz;4;Mitte;;0;;0;;0;;0;;0;;;;;;
KF;Konolfingen;4;Mitte;;0;;0;;0;;0;;0;;;;;;
KRA;Kradolf;4;Ost;;0;;0;;0;;0;;0;;;;;;
KR;Kreuzlingen;3;Ost;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;;4;;;;
KRB;Kreuzlingen Bernrain;4;Ost;;0;;0;;0;;0;;0;;;;;;
KRH;Kreuzlingen Hafen;4;Ost;;0;;0;;0;;0;;0;;;;;;
KRU;Krummenau;4;Ost;;0;;0;;0;;0;;0;;;;;;
KGD;Küngoldingen;5;Mitte;;0;;0;;0;;0;;0;;;;;;
KURZ;Kurzrickenbach Seepark;HaV;Ost;;0;;0;;0;;0;;0;;;;;;
KGO;Küsnacht Goldbach;3;Ost;;0;;0;;0;;0;;0;;;;;;
KUES;Küsnacht ZH;3;Ost;;0;;0;;0;;0;;0;;;;;;
